replicate,virus,dilution,uL_virus,RLU_per_well,cells,oseltamivir
rep1,H5N1_Widgeon_2021,0.5,25,5198000,293T,no
rep1,H5N1_Widgeon_2021,0.25,12.5,4400000,293T,no
rep1,H5N1_Widgeon_2021,0.125,6.25,3041000,293T,no
rep1,H5N1_Widgeon_2021,0.0625,3.125,2168000,293T,no
rep1,H5N1_Widgeon_2021,0.03125,1.5625,1228000,293T,no
rep1,H5N1_Widgeon_2021,0.015625,0.78125,884000,293T,no
rep1,H5N1_Widgeon_2021,0.0078125,0.390625,723700,293T,no
rep1,H5N1_Widgeon_2021,0.00390625,0.1953125,567100,293T,no
rep1,H5N1_Widgeon_2021,0.5,25,45690000,293T,yes
rep1,H5N1_Widgeon_2021,0.25,12.5,34590000,293T,yes
rep1,H5N1_Widgeon_2021,0.125,6.25,19160000,293T,yes
rep1,H5N1_Widgeon_2021,0.0625,3.125,11810000,293T,yes
rep1,H5N1_Widgeon_2021,0.03125,1.5625,5399000,293T,yes
rep1,H5N1_Widgeon_2021,0.015625,0.78125,3071000,293T,yes
rep1,H5N1_Widgeon_2021,0.0078125,0.390625,1631000,293T,yes
rep1,H5N1_Widgeon_2021,0.00390625,0.1953125,857700,293T,yes
rep1,H5N1_Widgeon_2021,0.5,25,93590000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.25,12.5,57360000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.125,6.25,30650000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.0625,3.125,11260000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.03125,1.5625,7233000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.015625,0.78125,3578000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.0078125,0.390625,1926000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.00390625,0.1953125,1107000,293T-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.5,25,61770000,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.25,12.5,42120000,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.125,6.25,26590000,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.0625,3.125,13080000,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.03125,1.5625,6971000,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.015625,0.78125,3046000,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.0078125,0.390625,1699000,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.00390625,0.1953125,981800,293T-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.5,25,60330000,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.25,12.5,39480000,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.125,6.25,19840000,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.0625,3.125,7894000,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.03125,1.5625,3860000,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.015625,0.78125,1516000,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.0078125,0.390625,578800,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.00390625,0.1953125,332200,293-noSA-tufted-duck-MHCII,no
rep1,H5N1_Widgeon_2021,0.5,25,36480000,293-noSA-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.25,12.5,18440000,293-noSA-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.125,6.25,8984000,293-noSA-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.0625,3.125,4878000,293-noSA-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.03125,1.5625,2260000,293-noSA-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.015625,0.78125,1083000,293-noSA-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.0078125,0.390625,460800,293-noSA-tufted-duck-MHCII,yes
rep1,H5N1_Widgeon_2021,0.00390625,0.1953125,236100,293-noSA-tufted-duck-MHCII,yes