sample,library,date,fastq_R1
Lib1-241216-293-IGM-H5-control,Lib1,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/293-H5-Lib-1_S23_L001_R1_001.fastq.gz
Lib2-241216-293-IGM-H5-control,Lib2,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/293-H5-Lib-2_S24_L001_R1_001.fastq.gz
Lib1-241216-293-IGM-VSVG-control,Lib1,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/293-VSVG-Lib-1_S25_L001_R1_001.fastq.gz
Lib2-241216-293-IGM-VSVG-control,Lib2,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/293-VSVG-Lib-2_S26_L001_R1_001.fastq.gz
Lib1-241216-293-SA23-IGM-H5-control,Lib1,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/23-H5-Lib-1_S27_L001_R1_001.fastq.gz
Lib2-241216-293-SA23-IGM-H5-control,Lib2,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/23-H5-Lib-2_S28_L001_R1_001.fastq.gz
Lib1-241216-293-SA23-IGM-VSVG-control,Lib1,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/23-VSVG-Lib-1_S29_L001_R1_001.fastq.gz
Lib2-241216-293-SA23-IGM-VSVG-control,Lib2,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/23-VSVG-Lib-2_S30_L001_R1_001.fastq.gz
Lib1-241216-293-SA26-IGM-H5-control,Lib1,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/26-H5-Lib-1_S31_L001_R1_001.fastq.gz
Lib2-241216-293-SA26-IGM-H5-control,Lib2,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/26-H5-Lib-2_S32_L001_R1_001.fastq.gz
Lib1-241216-293-SA26-IGM-VSVG-control,Lib1,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/26-VSVG-Lib-1_S33_L001_R1_001.fastq.gz
Lib2-241216-293-SA26-IGM-VSVG-control,Lib2,20241216,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20241213_LH00740_0026_A22WVMGLT3/Unaligned/H5_IGM_mAb_111224/26-VSVG-Lib-2_S34_L001_R1_001.fastq.gz
Lib1-250504-H5-no_mAb,Lib1,20250504,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20250602_LH00740_0090_A233CCCLT3/Unaligned/H5_illumina_anne_muc_270525/Lib1_no_mAb_S217_L003_R1_001.fastq.gz
Lib1-250504-H5_VSVG,Lib1,20250504,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20250602_LH00740_0090_A233CCCLT3/Unaligned/H5_illumina_anne_muc_270525/Lib1_VSVG_H5_S219_L003_R1_001.fastq.gz
Lib2-250504-H5-no_mAb,Lib2,20250504,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20250602_LH00740_0090_A233CCCLT3/Unaligned/H5_illumina_anne_muc_270525/Lib2_no_mAb_S218_L003_R1_001.fastq.gz
Lib2-250504-H5_VSVG,Lib2,20250504,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20250602_LH00740_0090_A233CCCLT3/Unaligned/H5_illumina_anne_muc_270525/Lib2_VSVG_H5_S220_L003_R1_001.fastq.gz
Lib1-251017-293-noSA-duck-MHCII,Lib1,20251017,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/251016_VH00699_591_AAHH2KKM5/Unaligned/Project_bdadonai/Duck_lib1_S1_R1_001.fastq.gz
Lib2-251017-293-noSA-duck-MHCII,Lib2,20251017,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/251016_VH00699_591_AAHH2KKM5/Unaligned/Project_bdadonai/Duck_lib2_S2_R1_001.fastq.gz
Lib1-251017-293-noSA-mixedMHCII-VSVG,Lib1,20251017,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/251016_VH00699_591_AAHH2KKM5/Unaligned/Project_bdadonai/VSVG_lib1_S7_R1_001.fastq.gz
Lib2-251017-293-noSA-mixedMHCII-VSVG,Lib2,20251017,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/251016_VH00699_591_AAHH2KKM5/Unaligned/Project_bdadonai/VSVG_lib2_S8_R1_001.fastq.gz
Lib1-251218-duck_MHCII_10,Lib1,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib1_1_IC50_27_S1_L001_R1_001.fastq.gz
Lib1-251218-duck_MHCII_4,Lib1,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib1_2_IC50_9_S2_L001_R1_001.fastq.gz
Lib1-251218-duck_MHCII_04,Lib1,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib1_3_IC50_S3_L001_R1_001.fastq.gz
Lib1-251218-duck_MHCII_02,Lib1,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib1_4_IC50_d2_S4_L001_R1_001.fastq.gz
Lib1-251218-duck_MHCII_01,Lib1,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib1_5_IC50_d4_S5_L001_R1_001.fastq.gz
Lib1-251218-duck_MHCII_006,Lib1,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib1_6_IC50_d6_S6_L001_R1_001.fastq.gz
Lib1-251218-duck_MHCII-no-antibody_control,Lib1,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib1_no_mAb_S25_L001_R1_001.fastq.gz
Lib2-251218-duck_MHCII_10,Lib2,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib2_1_IC50_27_S7_L001_R1_001.fastq.gz
Lib2-251218-duck_MHCII_4,Lib2,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib2_2_IC50_9_S8_L001_R1_001.fastq.gz
Lib2-251218-duck_MHCII_04,Lib2,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib2_3_IC50_S9_L001_R1_001.fastq.gz
Lib2-251218-duck_MHCII_02,Lib2,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib2_4_IC50_d2_S10_L001_R1_001.fastq.gz
Lib2-251218-duck_MHCII_01,Lib2,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib2_5_IC50_d4_S11_L001_R1_001.fastq.gz
Lib2-251218-duck_MHCII_006,Lib2,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib2_6_IC50_d6_S12_L001_R1_001.fastq.gz
Lib2-251218-duck_MHCII-no-antibody_control,Lib2,20251218,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20251217_LH00740_0167_B23FF2FLT3/Unaligned/duck_MHCII_VLP_selections_161225/H5_Lib2_no_mAb_S26_L001_R1_001.fastq.gz
Lib1-260107-duck_MHCII_10,Lib1,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib1_1_IC50_27_S1_L001_R1_001.fastq.gz
Lib1-260107-duck_MHCII_4,Lib1,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib1_2_IC50_9_S2_L001_R1_001.fastq.gz
Lib1-260107-duck_MHCII_04,Lib1,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib1_3_IC50_S3_L001_R1_001.fastq.gz
Lib1-260107-duck_MHCII_02,Lib1,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib1_4_IC50_d2_S4_L001_R1_001.fastq.gz
Lib1-260107-duck_MHCII_01,Lib1,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib1_5_IC50_d4_S5_L001_R1_001.fastq.gz
Lib1-260107-duck_MHCII_006,Lib1,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib1_6_IC50_d6_S6_L001_R1_001.fastq.gz
Lib1-260107-duck_MHCII-no-antibody_control,Lib1,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib1_no_mAb_S25_L001_R1_001.fastq.gz
Lib2-260107-duck_MHCII_10,Lib2,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib2_1_IC50_27_S7_L001_R1_001.fastq.gz
Lib2-260107-duck_MHCII_4,Lib2,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib2_2_IC50_9_S8_L001_R1_001.fastq.gz
Lib2-260107-duck_MHCII_04,Lib2,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib2_3_IC50_S9_L001_R1_001.fastq.gz
Lib2-260107-duck_MHCII_02,Lib2,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib2_4_IC50_d2_S10_L001_R1_001.fastq.gz
Lib2-260107-duck_MHCII_01,Lib2,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib2_5_IC50_d4_S11_L001_R1_001.fastq.gz
Lib2-260107-duck_MHCII_006,Lib2,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib2_6_IC50_d6_S12_L001_R1_001.fastq.gz
Lib2-260107-duck_MHCII-no-antibody_control,Lib2,20260107,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/20260106_LH00740_0170_A23CKNHLT3/Unaligned/duck_MHCII_VLP_selections_221225/H5_Lib2_no_mAb_S26_L001_R1_001.fastq.gz